window_start,window_end,severity,failure_type,failure_in_next_30min,alarm_duration_min,n_alarms_in_window,hour,day_of_week,month,is_weekend,shift,alarms_last_60min,shift_enc,severity_enc,alarms_last_1h,alarms_last_6h,alarms_last_24h,past_thermal_6h,past_mechanical_6h,past_high_6h,past_medium_6h,time_since_last_any,time_since_last_thermal,time_since_last_mechanical,mean_duration_last_20,max_duration_last_20,std_duration_last_20,alarm_acceleration,EAU11,EAU12,EAU21,EAU22,EAU11_mean_30min,EAU11_std_30min,EAU11_max_30min,EAU11_mean_1h,EAU11_std_1h,EAU11_max_1h,EAU11_mean_6h,EAU11_std_6h,EAU11_max_6h,EAU11_diff1,EAU11_diff3,EAU11_zscore,EAU12_mean_30min,EAU12_std_30min,EAU12_max_30min,EAU12_mean_1h,EAU12_std_1h,EAU12_max_1h,EAU12_mean_6h,EAU12_std_6h,EAU12_max_6h,EAU12_diff1,EAU12_diff3,EAU12_zscore,EAU21_mean_30min,EAU21_std_30min,EAU21_max_30min,EAU21_mean_1h,EAU21_std_1h,EAU21_max_1h,EAU21_mean_6h,EAU21_std_6h,EAU21_max_6h,EAU21_diff1,EAU21_diff3,EAU21_zscore,EAU22_mean_30min,EAU22_std_30min,EAU22_max_30min,EAU22_mean_1h,EAU22_std_1h,EAU22_max_1h,EAU22_mean_6h,EAU22_std_6h,EAU22_max_6h,EAU22_diff1,EAU22_diff3,EAU22_zscore,EAU_delta_11_22,EAU_delta_12_21,EAU_mean_all,EAU_max_all,is_night_shift,is_morning_shift,hour_sin,hour_cos,dow_sin,dow_cos
2026-05-09 00:05:00,2026-05-09 00:10:00,NONE,No_Failure,0,0.0,0,0,5,5,1,Night,0,2,0,0,0,0,0,0,0,0,0.0,9999.0,9999.0,0.0,0.0,0.0,0.0,1.764,1.879,0.0,1.778,1.764,0.0,1.764,1.764,0.0,1.764,1.764,0.0,1.764,0.0,0.0,1.1691,1.879,0.0,1.879,1.879,0.0,1.879,1.879,0.0,1.879,0.0,0.0,0.8769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1591,1.778,0.0,1.778,1.778,0.0,1.778,1.778,0.0,1.778,0.0,0.0,-0.214,0.014,-1.879,1.3552,1.879,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 00:10:00,2026-05-09 00:15:00,NONE,No_Failure,0,0.0,0,0,5,5,1,Night,0,2,0,0,0,0,0,0,0,0,5.0,9999.0,9999.0,0.0,0.0,0.0,0.0,1.583,0.624,3.33,0.0,1.6735,0.128,1.764,1.6735,0.128,1.764,1.6735,0.128,1.764,-0.181,0.0,0.9487,1.2515,0.8874,1.879,1.2515,0.8874,1.879,1.2515,0.8874,1.879,-1.255,0.0,-0.3747,1.665,2.3547,3.33,1.665,2.3547,3.33,1.665,2.3547,3.33,3.33,0.0,1.0552,0.889,1.2572,1.778,0.889,1.2572,1.778,0.889,1.2572,1.778,-1.778,0.0,-1.1431,-1.583,2.706,1.3842,3.33,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 00:15:00,2026-05-09 00:20:00,HIGH,Thermal_Anomaly,1,75.1,1,0,5,5,1,Night,1,2,3,0,0,0,0,0,1,0,5.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.734,2.51,3.33,4.44,1.3603,0.5499,1.764,1.3603,0.5499,1.764,1.3603,0.5499,1.764,-0.849,0.0,-0.0851,1.671,0.9601,2.51,1.671,0.9601,2.51,1.671,0.9601,2.51,1.886,0.0,1.5062,2.22,1.9226,3.33,2.22,1.9226,3.33,2.22,1.9226,3.33,0.0,0.0,1.0552,2.0727,2.2346,4.44,2.0727,2.2346,4.44,2.0727,2.2346,4.44,4.44,0.0,1.177,3.706,0.82,2.7535,4.44,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 00:20:00,2026-05-09 00:25:00,MEDIUM,Thermal_Anomaly,1,43.5,1,0,5,5,1,Night,2,2,2,1,1,1,1,0,1,1,5.0,0.0,9999.0,25.033,75.1,43.359,0.5,1.843,2.51,3.33,1.549,1.481,0.5098,1.843,1.481,0.5098,1.843,1.481,0.5098,1.843,1.109,0.079,1.2653,1.8808,0.8891,2.51,1.8808,0.8891,2.51,1.8808,0.8891,2.51,0.0,0.631,1.5062,2.4975,1.665,3.33,2.4975,1.665,3.33,2.4975,1.665,3.33,0.0,3.33,1.0552,1.9418,1.8433,4.44,1.9418,1.8433,4.44,1.9418,1.8433,4.44,-2.891,-0.229,-0.3337,-0.294,0.82,2.308,3.33,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 00:25:00,2026-05-09 00:30:00,HIGH,Thermal_Anomaly,1,86.7,1,0,5,5,1,Night,3,2,3,2,2,2,2,0,2,1,5.0,0.0,9999.0,29.65,75.1,36.587,0.6667,2.5,2.194,3.33,4.44,1.6848,0.6345,2.5,1.6848,0.6345,2.5,1.6848,0.6345,2.5,0.657,0.917,2.0653,1.9434,0.7826,2.51,1.9434,0.7826,2.51,1.9434,0.7826,2.51,-0.316,1.57,1.1911,2.664,1.4892,3.33,2.664,1.4892,3.33,2.664,1.4892,3.33,0.0,0.0,1.0552,2.4414,1.9484,4.44,2.4414,1.9484,4.44,2.4414,1.9484,4.44,2.891,4.44,1.177,1.94,1.136,3.116,4.44,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 00:30:00,2026-05-09 00:35:00,LOW,Thermal_Anomaly,1,4.0,1,0,5,5,1,Night,4,2,1,3,3,3,3,0,2,1,5.0,0.0,9999.0,41.06,86.7,40.68,0.75,2.095,2.51,3.33,4.44,1.7532,0.5917,2.5,1.7532,0.5917,2.5,1.7532,0.5917,2.5,-0.405,1.361,1.5722,2.0378,0.7372,2.51,2.0378,0.7372,2.51,2.0378,0.7372,2.51,0.316,0.0,1.5062,2.775,1.3595,3.33,2.775,1.3595,3.33,2.775,1.3595,3.33,0.0,0.0,1.0552,2.7745,1.9243,4.44,2.7745,1.9243,4.44,2.7745,1.9243,4.44,0.0,0.0,1.177,2.345,0.82,3.0938,4.44,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 00:35:00,2026-05-09 00:40:00,HIGH,Thermal_Anomaly,1,109.7,1,0,5,5,1,Night,5,2,3,4,4,4,4,0,3,1,5.0,0.0,9999.0,34.883,86.7,39.406,0.8,2.116,1.709,3.33,4.44,1.8118,0.6101,2.5,1.805,0.5573,2.5,1.805,0.5573,2.5,0.021,0.273,1.5977,2.0095,0.7477,2.51,1.9909,0.6844,2.51,1.9909,0.6844,2.51,-0.801,-0.801,0.7074,3.33,0.0,3.33,2.8543,1.2586,3.33,2.8543,1.2586,3.33,0.0,0.0,1.0552,3.2182,1.9552,4.44,3.0124,1.866,4.44,3.0124,1.866,4.44,0.0,2.891,1.177,2.324,1.621,2.8988,4.44,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 00:40:00,2026-05-09 00:45:00,HIGH,Thermal_Anomaly,1,63.3,1,0,5,5,1,Night,6,2,3,5,5,5,5,0,4,1,5.0,0.0,9999.0,45.571,109.7,45.757,0.8333,0.888,2.51,3.33,4.44,1.696,0.7186,2.5,1.6904,0.6093,2.5,1.6904,0.6093,2.5,-1.228,-1.612,0.1025,2.3238,0.3267,2.51,2.0557,0.6596,2.51,2.0557,0.6596,2.51,0.801,0.316,1.5062,3.33,0.0,3.33,2.9138,1.1773,3.33,2.9138,1.1773,3.33,0.0,0.0,1.0552,3.9582,1.1802,4.44,3.1909,1.7998,4.44,3.1909,1.7998,4.44,0.0,0.0,1.177,3.552,0.82,2.792,4.44,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 00:45:00,2026-05-09 00:50:00,HIGH,Thermal_Anomaly,1,63.2,1,0,5,5,1,Night,7,2,3,6,6,6,6,0,5,1,5.0,0.0,9999.0,47.788,109.7,42.824,0.8571,2.5,1.457,3.33,4.44,1.9903,0.5972,2.5,1.7803,0.6306,2.5,1.7803,0.6306,2.5,1.612,0.405,2.0653,2.1483,0.4616,2.51,1.9892,0.6485,2.51,1.9892,0.6485,2.51,-1.053,-1.053,0.456,3.33,0.0,3.33,2.96,1.11,3.33,2.96,1.11,3.33,0.0,0.0,1.0552,3.9582,1.1802,4.44,3.3297,1.7343,4.44,3.3297,1.7343,4.44,0.0,0.0,1.177,1.94,1.873,2.9318,4.44,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 00:50:00,2026-05-09 00:55:00,MEDIUM,Thermal_Anomaly,1,41.6,1,0,5,5,1,Night,8,2,2,7,7,7,7,0,5,2,5.0,0.0,9999.0,49.5,109.7,40.386,0.875,1.369,1.287,1.603,4.44,1.9113,0.6496,2.5,1.7392,0.6086,2.5,1.7392,0.6086,2.5,-1.131,-0.747,0.6882,1.9445,0.5343,2.51,1.919,0.6505,2.51,1.919,0.6505,2.51,-0.17,-0.422,0.2865,3.0422,0.705,3.33,2.8243,1.1311,3.33,2.8243,1.1311,3.33,-1.727,-1.727,-0.0932,4.44,0.0,4.44,3.4407,1.6724,4.44,3.4407,1.6724,4.44,0.0,0.0,1.177,3.071,0.316,2.1748,4.44,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 00:55:00,2026-05-09 01:00:00,LOW,Thermal_Anomaly,1,2.0,1,0,5,5,1,Night,9,2,1,8,8,8,8,0,5,2,5.0,0.0,9999.0,48.71,109.7,38.158,0.8889,0.756,1.127,3.328,2.612,1.6207,0.7199,2.5,1.6498,0.6491,2.5,1.6498,0.6491,2.5,-0.613,-0.132,-0.0583,1.7667,0.6072,2.51,1.847,0.6617,2.51,1.847,0.6617,2.51,-0.16,-1.383,0.1269,3.0418,0.7049,3.33,2.8701,1.0837,3.33,2.8701,1.0837,3.33,1.725,-0.002,1.0539,4.1353,0.7463,4.44,3.3654,1.6061,4.44,3.3654,1.6061,4.44,-1.828,-1.828,0.2218,1.856,2.201,1.9558,3.328,1,0,0.0,1.0,-0.9749,-0.2225
2026-05-09 01:00:00,2026-05-09 01:05:00,HIGH,Thermal_Anomaly,1,69.9,1,1,5,5,1,Night,10,2,3,9,9,9,9,0,6,2,5.0,0.0,9999.0,44.464,109.7,38.843,0.9,1.996,0.463,3.33,3.04,1.6042,0.7079,2.5,1.6787,0.6269,2.5,1.6787,0.6269,2.5,1.24,-0.504,1.4516,1.4255,0.6771,2.51,1.7317,0.7468,2.51,1.7317,0.7468,2.51,-0.664,-0.994,-0.5353,3.0418,0.7049,3.33,2.9084,1.0418,3.33,2.9084,1.0418,3.33,0.002,0.0,1.0552,3.902,0.8444,4.44,3.3383,1.5342,4.44,3.3383,1.5342,4.44,0.428,-1.4,0.4454,1.044,2.867,2.2072,3.33,1,0,0.2588,0.9659,-0.9749,-0.2225
2026-05-09 01:05:00,2026-05-09 01:10:00,MEDIUM,Thermal_Anomaly,1,46.6,1,1,5,5,1,Night,11,2,2,10,10,10,10,0,6,3,5.0,0.0,9999.0,46.583,109.7,37.756,0.9091,1.81,2.51,2.518,4.44,1.5532,0.6739,2.5,1.6825,0.6276,2.5,1.6888,0.6013,2.5,-0.186,0.441,1.2251,1.559,0.8101,2.51,1.7842,0.7796,2.51,1.7915,0.7469,2.51,2.047,1.223,1.5062,2.9065,0.7163,3.33,3.1182,0.5312,3.33,2.8784,1.0033,3.33,-0.812,0.915,0.5153,3.902,0.8444,4.44,3.5601,1.4796,4.44,3.423,1.5004,4.44,1.4,0.0,1.177,2.63,0.008,2.8195,4.44,1,0,0.2588,0.9659,-0.9749,-0.2225
2026-05-09 01:10:00,2026-05-09 01:15:00,HIGH,Thermal_Anomaly,1,65.2,1,1,5,5,1,Night,12,2,3,11,11,11,11,0,7,3,5.0,0.0,9999.0,46.585,109.7,36.149,0.9167,0.052,1.793,0.0,4.44,1.4138,0.8905,2.5,1.5549,0.7854,2.5,1.5719,0.7246,2.5,-1.758,-0.704,-0.9155,1.4395,0.6849,2.51,1.8817,0.6892,2.51,1.7916,0.7176,2.51,-0.717,0.666,0.7911,2.3515,1.3406,3.33,2.8408,1.0383,3.33,2.6728,1.2333,3.33,-2.518,-3.328,-1.1591,3.902,0.8444,4.44,3.9301,0.9788,4.44,3.4956,1.4669,4.44,0.0,1.828,1.177,4.388,-1.793,1.5712,4.44,1,0,0.2588,0.9659,-0.9749,-0.2225
2026-05-09 01:15:00,2026-05-09 01:20:00,MEDIUM,Thermal_Anomaly,1,31.2,1,1,5,5,1,Night,12,2,2,11,12,12,12,0,7,4,5.0,0.0,9999.0,47.914,109.7,35.085,0.8462,1.469,2.51,0.0,4.44,1.242,0.7226,1.996,1.6162,0.7431,2.5,1.565,0.6988,2.5,1.417,-0.527,0.8099,1.615,0.8132,2.51,1.8817,0.6892,2.51,1.8395,0.7159,2.51,0.717,2.047,1.5062,1.7965,1.5304,3.33,2.5632,1.3061,3.33,2.4946,1.3743,3.33,0.0,-3.33,-1.1591,3.902,0.8444,4.44,3.9301,0.9788,4.44,3.5586,1.4344,4.44,0.0,1.4,1.177,2.971,-2.51,2.1048,4.44,1,0,0.2588,0.9659,-0.9749,-0.2225
2026-05-09 01:20:00,2026-05-09 01:25:00,HIGH,Thermal_Anomaly,1,94.9,1,1,5,5,1,Night,12,2,3,11,13,13,13,0,8,4,5.0,0.0,9999.0,46.8,109.7,34.083,0.7857,1.467,1.831,0.744,0.0,1.2583,0.7272,1.996,1.5848,0.7406,2.5,1.5589,0.6755,2.5,-0.002,-0.343,0.8075,1.7057,0.7995,2.51,1.8251,0.6602,2.51,1.839,0.6916,2.51,-0.679,-0.679,0.829,1.6533,1.5911,3.33,2.3478,1.3794,3.33,2.3852,1.3979,3.33,0.744,-1.774,-0.6643,3.162,1.7444,4.44,3.801,1.3523,4.44,3.3362,1.6468,4.44,-4.44,-4.44,-1.1431,-1.467,-1.087,1.0105,1.831,1,0,0.2588,0.9659,-0.9749,-0.2225
